记录ID,金额,物品
1207,5,队友重生卡
1208,9,重生石
1209,5,技能刷新卡
1210,5,双倍经验绿卡
1211,10,双倍经验金卡
1213,2,小型银币堆
1391,9,补签一次
1540,20,改名卡
1639,15,添加宠物背包位
1682,400,大黄蜂时装
1683,400,金刚狼时装
1684,300,赤焰钢铁侠
1685,300,苍穹钢铁侠
1686,200,队长时装
1781,750,先知
1783,1500,泰坦
1789,100,沙漠进袭者
1790,200,破晓
1791,200,收割者
1792,1000,制裁者
1793,200,巨鲸
1794,180,潜行者
1820,370,铁魁基因体
1821,370,爆骷基因体
1849,40,稀有宝箱
1967,1,泰坦碎片
1968,1,先知碎片
1969,3,先知碎片
1970,2,沙漠进袭者碎片
1971,2,破晓碎片
1972,2,收割者碎片
1973,2,潜行者碎片
1974,2,巨鲸碎片
1976,380,小罗时装
1977,280,小鼬时装
1978,220,小贝头盔
1991,10,生命催化剂
1992,10,能量催化剂
1993,10,变异催化剂
2071,60,传奇宝箱
2072,400,小香时装
2080,10,增加赠送次数一次
2102,1000,挖掘者
2103,1,挖掘者碎片
2121,99,七夕黄金礼包
2138,1,光能石
2139,5,黑色碎片转化
2234,1,强化石
2295,550,团长时装
2298,650,小巴时装
2299,650,小乐时装
2355,50,双节黄金礼包
2449,100,联邦部长
2450,200,联邦国务卿
2451,300,联邦总统
2452,10,游说卡
2528,30,挑战次数
2581,20,感恩节豪华礼包
2611,600,圣诞老人时装
2612,600,圣诞女郎时装
2613,500,圣诞礼炮
2663,6,圣诞礼炮碎片
2752,600,炮仗
2772,2,滑翔技能碎片
2773,6,祖龙稀有碎片
2776,8,战斧稀有碎片
2777,5,蚁人碎片
2778,3,部落骨环碎片
2782,300,异龙蛋
2786,600,雷克基因体
2787,350,凯撒
2789,3,钛晶
2841,14,翻滚技能碎片
2887,40,补签一次
2981,8,守望之翼碎片
2982,7,无疆之章碎片
2999,6,斗士之角碎片
3105,8,双倍装备掉率卡
3106,10,双倍武器掉率卡
3108,100,69级零件箱
3109,300,75级零件箱
3110,800,78级零件箱
3119,1,装置箱
3139,10,神谕头盔碎片
3168,30,补签一次
3169,8,GM副本挑战次数
3170,70,周年豪华礼包
3215,1,蚀骨碎片
3216,10,神谕腰带碎片
3217,1,烟花弩碎片
3254,15,黑色碎片转化90
3425,10,神谕战衣碎片
3485,15,精石
3547,15,终级武器守护卡
3609,80,补充完成任务
3611,2,周年碎片
3612,5,装置箱
3613,1,副手箱
3655,1100,五星队长
3709,15,终级装备守护卡
3730,1,装扮券
3731,1,高级装扮券
3732,10,黄金装扮券
3832,10,神器宝箱
3833,4,神烦狗碎片
3897,2,钥匙箱
3902,5,骷髅权杖碎片
3903,5,王者之翼碎片
3904,5,狼首时装碎片
3905,2,洪荒碎片
3906,40,异虎宝箱
3907,40,远古宝箱
3909,1,镭晶
3911,3,卡特巨炮碎片
3912,3,狩猎者碎片
3913,80,生肖特惠包
3939,1,亥猪碎片
3942,1,年兽碎片
3944,2,兽甲碎片
3946,1,巳蛇碎片
3947,1200,军长时装
3949,7,酉鸡碎片
3950,1,午马碎片
3959,3,神武碎片
3960,3,神护碎片
3961,2,转化石
3962,2,神能石
3963,1,超能石
3965,3,光能石
3966,1200,大Boss时装
3967,800,小金时装
3968,700,夜魔时装
3969,200,小飞时装
3970,650,学生心零时装
3971,500,助手心零时装
3975,8,百合花
3976,1,子鼠碎片
3978,8,扫荡卡
3979,30,扫荡卡
3980,1,核能石
3984,3,武器宝石箱
3985,3,装备宝石箱
3986,4800,狂怒盖亚特惠包
3987,300,特惠礼包
3991,25,零件特惠包
3992,30,碎片特惠包
3993,90,升级特惠包
4043,1,申猴碎片
4048,1,血石
4049,2,高级装备箱
4050,2,高级武器箱
4051,8,高级步枪箱
4052,8,高级狙击箱
4053,8,高级手枪箱
4054,8,高级散弹箱
4055,10,战宠号角
4056,1,军备物资
4057,1,强化剂
4058,2,商券
4078,1500,幽鬼
4079,400,挖掘者
4080,1500,泰坦
4081,750,先知
4082,1000,制裁者
4083,1200,军长时装
4084,1100,五星队长
4085,1200,大Boss时装
4086,200,剑齿镖
4089,1,卯兔碎片
4109,1,丑牛碎片
4110,8,募兵券
4111,1,戌狗碎片
4112,2,附身碎片
4113,800,悟空时装
4114,800,哪吒时装
4172,3,竞技宝箱
4173,1,弦音碎片
4199,7,猎人技能器
4200,5,腐蚀芯片
4241,2,暴君之骷碎片
4242,5,钢笔枪碎片
4245,5,雷斯图鉴
4262,2,天弓碎片
4274,8,镭射穿梭器
4277,4,爆骷S图鉴
4283,5,洪荒碎片
4287,50,大型银币堆
4288,10,中型银币堆
4289,2,武器守护卡
4290,2,装备守护卡
4291,5,高级武器守护卡
4292,5,高级装备守护卡
4294,10,工人帽碎片
4303,800,牛仔小樱时装
4304,800,机甲小樱时装
4310,500,高级特惠礼包
4312,9,光锥碎片
4313,2,猩之焰
4314,2,铄金之源
4327,1500,噬魂时装
4329,1500,噬原时装
4335,50,联邦总统3天
4339,2,万能生肖碎片
4360,400,白宙时装
4361,800,清凉心零时装
4362,2,添加魂卡背包位
4383,50,真辰龙皮肤
4384,50,真寅虎皮肤
4385,50,金蝉写实皮肤
4386,50,赤鼬赛博紫皮肤
4387,50,卡特写实皮肤
4388,50,光锥写实皮肤
4389,100,血石x1000
4390,100,强化剂1万个
4391,100,强化石x1000
4392,1000,黄金隼
4393,1,神护碎片
4395,1000,黄金隼
4396,10,技能熟练卡
4397,3,魂卡券
4398,1500,刹鬼时装
4399,7,荒芒碎片
4400,15,全域光波碎片
4401,1500,刹鬼时装
4402,4,无双水晶
4403,4,战神之心
4404,5,光锥碎片
4405,4,猩之焰
4406,4,铄金之源
4407,5,天弓碎片
4408,5,弦音碎片
4409,5,戌狗碎片
4410,5,丑牛碎片
4411,5,卯兔碎片
4412,5,申猴碎片
4413,5,子鼠碎片
4414,5,巳蛇碎片
4415,5,午马碎片
4416,4,蚀骨碎片
4417,5,烟花弩碎片
4418,3,圣诞礼炮碎片
4419,5,卡特巨炮碎片
4420,4,战斧稀有碎片
4421,3,祖龙稀有碎片
4422,6,万能生肖碎片
4423,200,元旦豪华礼包
4424,30,队友功勋牌
4425,700,紫嫣小美时装
4426,1500,凯撒箱
4427,1000,副手箱500个
4428,5,高级武器守护卡
4429,5,高级装备守护卡
4430,10,玩具熊
4431,1500,雪影时装
4432,1500,雪影时装
4433,500,十月特惠礼包
4434,20,尸宠基因盒
4435,4,斩之核心碎片
4436,100,爆裂弹
4438,2,万能球
4439,60,沙漠进袭者
4444,2,泰坦碎片
4445,2,挖掘者碎片
4446,2,制裁者碎片
4447,2,先知碎片
4458,250,电磁球
4459,250,火焰球
4460,250,冷冻球
4461,250,生化球
4464,500,极源碎片x200
4465,2,升化剂
4466,1500,大圣时装
4471,7,远视镜碎片
4472,1500,大圣时装
4473,70,C型枪管
4474,60,元素泡
4475,60,连发器
4476,70,穿人器
4479,8,聚魂石
4481,820,白狐心零时装
4483,30,减速器
4484,80,挖墙弹
4485,50,消磁器
4486,40,零件位卡
4490,5,氩石
4491,6,氩岗岩
4494,3,副手箱
4495,2,装置箱
4496,5,背包位卡
4497,5,仓库位卡
4498,1,巨鲸碎片
4500,80,潜行者
4501,2,狩猎者碎片
4502,1,钢笔枪碎片
4505,1,神谕头盔碎片
4506,3,精石
4507,2,猎人技能器
4508,1,腐蚀芯片
4511,370,超远视镜
4512,6,极源碎片
4513,6,隼武碎片
4514,5,神队卡片
4515,3,星轨碎片
4516,4,漫游碎片
4517,1,王者之翼碎片
4518,2,斗士之角碎片
4519,2,骷髅权杖碎片
4520,3,无疆之章碎片
4521,2,部落骨环碎片
4522,3,翻滚技能碎片
4523,2,异龙蛋碎片
4524,2,天秤座碎片
4525,190,镭射箱
4526,220,黑洞箱
4527,2,贪吃蛇碎片
4528,1,赤焰碎片
4529,1,爆骷S图鉴
4530,1,冥王图鉴
4531,1,雷斯图鉴
4532,3,死神碎片
4533,6,巨蟹座碎片
4534,1500,惊雀时装
4535,1500,阎罗时装
4536,4,降雨炮碎片
4537,1,升化剂
4539,1500,泰坦
4540,1500,幽鬼
4541,800,制裁者
4542,1500,大圣时装
4543,1500,雪影时装
4544,1500,刹鬼时装
4545,1500,噬魂时装
4546,1000,黄金隼
4547,1200,军长时装
4548,1100,五星队长
4549,1200,大Boss时装
4550,800,清凉心零时装
4551,800,牛仔小樱时装
4552,800,机甲小樱时装
4553,650,学生心零时装
4554,650,小乐时装
4555,650,小巴时装
4556,1500,凯撒箱
4557,7,小治时装碎片
4558,400,切割者
4562,1500,猎风时装
4563,2,光锥碎片
4564,2,卡特巨炮碎片
4565,1000,白耀时装
4567,1500,猎风时装
4568,1500,惊雀时装
4570,1500,阎罗时装
4571,1500,大圣时装
4572,1500,雪影时装
4573,1500,刹鬼时装
4574,1500,噬魂时装
4575,1500,噬原时装
4576,1500,赤姬时装
4578,200,老弹体
,15,特级装备箱
,15,特级武器箱
,18,特级步枪箱
,18,特级狙击箱
,18,特级散弹箱
,18,特级手枪箱
,120,特级火炮箱
,10,黄金贡献
